 #  Results from PENSHOWER.
 #
 #  Each electron trajectory is separated by a line of "0" and consists of a
 #  header and a list of positions. They are separated by a line of "1".
 #
 #  The header contains the following information about the trajectory:
 #    TRAJ: Index (starting at 1).
 #    KPAR: Type of particle (electron=1, photon=2, positron=3).
 #    PARENT: Index of the parent trajectory (primary=0).
 #    ICOL: Type of collision that created this trajectory (primary=0).
 #    EXIT: Exit type (backscattered=1, transmitted=2, absorbed=3).
 #
 #  Each line after the "1" corresponds to an interaction within the trajectory.
 #  The following information are given:
 #    X, Y, Z: position (in cm).
 #    E: energy (in eV).
 #    WGHT: weight (=1 in analogous mode).
 #    IBODY: index of the body.
 #    ICOL: type of collision.
 #
00000000000000000000000000000000000000000000000000000000000000000000000000000000
TRAJ          1
KPAR          1
PARENT        0
ICOL          0
EXIT          3
11111111111111111111111111111111111111111111111111111111111111111111111111111111
  0.334660E-04  0.762682E-05 -0.538627E-04  0.860499E+04  0.100000E+01    1    5
  0.334780E-04  0.762396E-05 -0.538848E-04  0.860499E+04  0.100000E+01    1    1
  0.335023E-04  0.761822E-05 -0.539293E-04  0.860499E+04  0.100000E+01    1    5
  0.335286E-04  0.761202E-05 -0.539774E-04  0.860499E+04  0.100000E+01    1    1
  0.336112E-04  0.759681E-05 -0.541455E-04  0.860499E+04  0.100000E+01    1    5
  0.338036E-04  0.756137E-05 -0.545373E-04  0.860499E+04  0.100000E+01    1    1
  0.338646E-04  0.754598E-05 -0.546699E-04  0.860499E+04  0.100000E+01    1    2
  0.339470E-04  0.752278E-05 -0.546151E-04  0.860499E+04  0.100000E+01    1    1
  0.340550E-04  0.748514E-05 -0.545423E-04  0.860499E+04  0.100000E+01    1    5
  0.344877E-04  0.733438E-05 -0.542506E-04  0.859411E+04  0.100000E+01    1    1
  0.354066E-04  0.703021E-05 -0.537805E-04  0.859411E+04  0.100000E+01    1    5
  0.361551E-04  0.678244E-05 -0.533976E-04  0.853612E+04  0.100000E+01    1    1
  0.364488E-04  0.668733E-05 -0.531897E-04  0.853612E+04  0.100000E+01    1    5
  0.374169E-04  0.637387E-05 -0.525047E-04  0.853612E+04  0.100000E+01    1    1
  0.381119E-04  0.601570E-05 -0.518336E-04  0.853612E+04  0.100000E+01    1    2
  0.382695E-04  0.581254E-05 -0.517357E-04  0.853612E+04  0.100000E+01    1    1
  0.385690E-04  0.541756E-05 -0.516086E-04  0.853612E+04  0.100000E+01    1    2
  0.389610E-04  0.501044E-05 -0.516355E-04  0.851571E+04  0.100000E+01    1    1
  0.392080E-04  0.470478E-05 -0.516720E-04  0.838931E+04  0.100000E+01    1    3
  0.394797E-04  0.444144E-05 -0.517024E-04  0.838931E+04  0.100000E+01    1    1
  0.398162E-04  0.413889E-05 -0.517183E-04  0.838931E+04  0.100000E+01    1    2
  0.412903E-04  0.203509E-05 -0.511083E-04  0.836053E+04  0.100000E+01    1    1
