              2              0
              6              0
             10              0
             14              0
             18              0
             22              0
             26              0
             30        2137.64
             34              0
             38              0
             42              0
             46              0
             50              0
             54              0
             58              0
             62              0
             66              0
             70              0
             74              0
             78              0
             82              0
             86              0
             90              0
             94        1801.33
             98              0
            102              0
            106              0
            110              0
            114              0
            118              0
            122              0
            126              0
            130              0
            134              0
            138              0
            142              0
            146              0
            150              0
            154              0
            158              0
            162              0
            166              0
            170              0
            174              0
            178              0
